kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
_1.ptx 33318 : 260352 54381636 65024 0 0 15360 7232 0 0 
_1.ptx 33319 : 260352 56343492 65024 0 0 15360 7232 0 0 
_1.ptx 33320 : 260352 58403088 29184 0 0 14464 7232 0 0 
_1.ptx 33321 : 260352 1562112 0 0 0 0 0 0 0 
_1.ptx 33322 : 260352 1822464 0 0 0 0 0 0 0 
_1.ptx 33323 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33324 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33325 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33326 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33327 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33328 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33329 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33330 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33331 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33332 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33333 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33334 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33335 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33336 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33337 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33338 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33339 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33340 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33341 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33342 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33343 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33344 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33345 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33346 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33347 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33348 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33349 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33350 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33351 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33352 : 260352 1944540 0 0 0 0 0 0 0 
_1.ptx 33353 : 260352 1960740 0 0 0 0 0 0 0 
_1.ptx 33354 : 260352 1944540 0 0 0 0 0 0 0 
